place,movie_title,rate,year,star_cast
60,Sunset Blvd,8.382421503671072,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,Paths of Glory,8.37070986941395,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
62,The Shining,8.367910850743545,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366149876378758,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.356691815929526,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.355613848918932,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.34472256522895,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.337935074742548,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.333762179437652,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.328616731651735,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Spider-Man: Into the Spider-Verse,8.328612646696223,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
71,Joker,8.319783198336053,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,Oldeuboi,8.319781196142133,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
73,Braveheart,8.315439204543608,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
74,Amadeus,8.315391821937252,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
75,Toy Story,8.314586836246184,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.31223860540578,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Das Boot,8.311824377149236,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Inglourious Basterds,8.31085096476422,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
79,Mononoke-hime,8.303733941637446,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.30119987058966,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Once Upon a Time in America,8.300608695303632,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.286529235429976,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Requiem for a Dream,8.276966687274285,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,Toy Story 3,8.276659718350574,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
85,Kimi no na wa,8.274441701471137,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
86,Singin' in the Rain,8.27393159966466,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.269002223712548,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.267952802130107,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,2001: A Space Odyssey,8.265396133110958,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Eternal Sunshine of the Spotless Mind,8.264626184475956,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,Reservoir Dogs,8.26451438339706,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
92,Tengoku to jigoku,8.263258341913144,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
93,Capharnaüm,8.258739369953414,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
94,Citizen Kane,8.25798868783732,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
95,Lawrence of Arabia,8.25654865266954,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Jagten,8.25489845139671,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,M - Eine Stadt sucht einen Mörder,8.25385833739654,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.253844077457268,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Vertigo,8.24809857633886,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
10, Le fabuleux destin d'Amélie Poulain,8.246295899726507,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
101,A Clockwork Orange,8.244804077606767,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
102,Idi i smotri,8.243473619895251,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
103,Full Metal Jacket,8.240141113364631,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
104,Double Indemnity,8.238194173405866,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,The Apartment,8.23714325716897,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
106,Scarface,8.23506347670742,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Ikiru,8.230895419652958,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
108,The Sting,8.229145554096434,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,To Kill a Mockingbird,8.228994923325754,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,Taxi Driver,8.227993620539339,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
111,LA Confidential,8.224910855539239,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
112,Up,8.224315509807163,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
113,Heat,8.223234409224782,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
114,Hamilton,8.221737085798807,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
115,Metropolis,8.221084998756169,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,Jodaeiye Nader az Simin,8.220566858992488,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
117,Snatch,8.220420777618338,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
118,Die Hard,8.220230692776672,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
119,Incendies,8.2195132034991,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
120,Indiana Jones and the Last Crusade,8.218373286813165,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Ladri di biciclette,8.217677045688122,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,Spider-Man: No Way Home,8.213913356188066,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
123,1917,8.212224158457307,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Taare Zameen Par,8.206295151449167,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
125,Der Untergang,8.204685178056476,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
126,Per qualche dollaro in più,8.203388427343036,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.202186287234932,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,Dangal,8.197633927550779,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
129,The Kid,8.194485906400152,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
130,Some Like It Hot,8.191543967513052,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
131,The Father,8.182613403164833,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
132,Everything Everywhere All at Once,8.180328471590164,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
133,All About Eve,8.180306187968654,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
134,Green Book,8.174280121628941,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
135,The Wolf of Wall Street,8.171424048173433,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
136,Judgment at Nuremberg,8.168914896393058,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
137,Unforgiven,8.164555071013101,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Ran,8.16372827244719,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
139,Casino,8.163700072365618,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
140,Pan's Labyrinth,8.163441560738601,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
141,There Will Be Blood,8.154833950893416,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
142,The Sixth Sense,8.153748822018109,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.153124821597359,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.15266802328336,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,The Truman Show,8.151726288244042,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
146,Yôjinbô,8.149056621636166,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
147,The Treasure of the Sierra Madre,8.148010880943568,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,Rashômon,8.14298691910007,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
149,Shutter Island,8.142789790609202,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
150,The Great Escape,8.142372407236964,1963,"John Sturges (dir.), Steve McQueen, James Garner"
151,Jurassic Park,8.140836702369283,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
152,Kill Bill: Vol 1,8.137347375352668,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
153,No Country for Old Men,8.135474512066674,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
154,Finding Nemo,8.131283788979825,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,The Elephant Man,8.130931096886608,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Raging Bull,8.129925660562622,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,Chinatown,8.12948399445672,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
158,Gone with the Wind,8.126979687470055,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.125978962092121,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,The Thing,8.124593251607942,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
161,Inside Out,8.124565692367527,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
162,"Lock, Stock and Two Smoking Barrels",8.123460534065975,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
163,Dial M for Murder,8.119222207073538,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
164,El secreto de sus ojos,8.117863906124725,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
165,The Bridge on the River Kwai,8.1144890514197,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,Hauru no ugoku shiro,8.11430672250024,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
167,"Three Billboards Outside Ebbing, Missouri",8.111604031422093,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
168,Trainspotting,8.111567357128171,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
169,Gran Torino,8.105227996354376,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Warrior,8.105040752453094,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
171,Fargo,8.103483735735386,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
172,Tonari no Totoro,8.095423341932404,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Prisoners,8.095060162624202,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
174,Million Dollar Baby,8.090006319497032,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
175,The Gold Rush,8.087801488504438,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.086936556851683,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,Catch Me If You Can,8.086077544342983,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
178,On the Waterfront,8.084543406223146,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,The Third Man,8.082476272313587,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Bacheha-Ye aseman,8.080648919155358,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
181,Ben-Hur,8.078805250459151,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,12 Years a Slave,8.07809448519756,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,The General,8.07784406023476,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
184,Smultronstället,8.077435969435545,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
185,Gone Girl,8.07725938423022,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186,Before Sunrise,8.076683079653899,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
187,Harry Potter and the Deathly Hallows: Part 2,8.075806356165208,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
188,The Deer Hunter,8.075764758576733,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
189,In the Name of the Father,8.074484729622682,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,The Grand Budapest Hotel,8.072374722245689,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
191,Mr Smith Goes to Washington,8.071337718353593,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
192,Le salaire de la peur,8.07020775640875,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
193,Barry Lyndon,8.069463679905127,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
194,Sherlock Jr,8.069087804631064,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,Salinui chueok,8.068336985335346,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Room,8.067519199876692,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
197,Hacksaw Ridge,8.067019223189101,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
198,Klaus,8.066910774385082,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
199,Det sjunde inseglet,8.066500298921392,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,Relatos salvajes,8.064932573291149,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
201,The Big Lebowski,8.062824423328546,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
202,How to Train Your Dragon,8.061912505736954,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,Mad Max: Fury Road,8.06186077995499,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
204,Mary and Max,8.060412438090461,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
205,"Monsters, Inc",8.058559068359806,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Jaws,8.057926977391482,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,La passion de Jeanne d'Arc,8.055817533094872,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,Hotel Rwanda,8.05295237395082,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
209,Tôkyô monogatari,8.052277537357138,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
210,Dead Poets Society,8.052141205362839,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
211,Pather Panchali,8.051513769069597,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
212,Platoon,8.04726992891938,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Rocky,8.047256660009491,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
214,Ford v Ferrari,8.045642720556637,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
215,Stand by Me,8.042199877320435,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
216,The Terminator,8.041388728075772,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
217,Spotlight,8.039331571632562,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Rush,8.039321588534612,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Into the Wild,8.037492265937974,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
220,Network,8.037265836468203,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,The Wizard of Oz,8.036083705880502,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
222,Logan,8.035445837153663,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
223,Groundhog Day,8.032507876088642,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
224,Ratatouille,8.031998899648002,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
225,The Exorcist,8.028412231277608,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226,Before Sunset,8.028345878847917,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
227,The Best Years of Our Lives,8.026460514233165,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,The Incredibles,8.025608943134422,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,To Be or Not to Be,8.024659750018996,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,Rebecca,8.022815351739217,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
231,The Grapes of Wrath,8.02271286259699,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,La battaglia di Algeri,8.022526369820307,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
233,Hachi: A Dog's Tale,8.021704004940291,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,Cool Hand Luke,8.021351682931773,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
235,Amores perros,8.021020502642859,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Pirates of the Caribbean: The Curse of the Black Pearl,8.018724653299966,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
237,Les quatre cents coups,8.01633815692597,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
238,La haine,8.016174839245256,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
239,Persona,8.015941054934121,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
240,Life of Brian,8.014747338766352,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
241,Dersu Uzala,8.014720558577505,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
242,Babam ve Oglum,8.014702230633326,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
243,It Happened One Night,8.013804336460172,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,The Sound of Music,8.013611287195928,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
245,Ah-ga-ssi,8.009229362495388,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
246,Aladdin,8.007027507546713,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
247,Jai Bhim,8.006829648384192,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
248,Gandhi,8.006548553862373,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,The Help,8.004707939177251,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis"
250,Beauty and the Beast,8.003121040291182,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
